//Exported ASCII-File
[Header]
FileName = D:\Gast\Lei Gao\20250414 Sadeed_Hetero\1.wip
GraphName = H-532nm-10s-ave10-2mw-50obj-spot2
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 3205.8
PositionY = 3405.15
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	H-532nm-10s-ave10-2mw-50obj-spot2
rel. 1/cm	CCD cts
-2.19052E+03	 5.07700E+02
-2.18705E+03	 5.06900E+02
-2.18358E+03	 5.03200E+02
-2.18012E+03	 5.04300E+02
-2.17665E+03	 5.03200E+02
-2.17319E+03	 5.07500E+02
-2.16973E+03	 5.05700E+02
-2.16627E+03	 5.03900E+02
-2.16281E+03	 5.05400E+02
-2.15935E+03	 5.04100E+02
-2.15590E+03	 5.04600E+02
-2.15244E+03	 5.04100E+02
-2.14899E+03	 5.04600E+02
-2.14554E+03	 5.05400E+02
-2.14208E+03	 5.06200E+02
-2.13863E+03	 5.04000E+02
-2.13519E+03	 5.05300E+02
-2.13174E+03	 5.02600E+02
-2.12829E+03	 5.06900E+02
-2.12485E+03	 5.06700E+02
-2.12140E+03	 5.04900E+02
-2.11796E+03	 5.04200E+02
-2.11452E+03	 5.04800E+02
-2.11108E+03	 5.07100E+02
-2.10764E+03	 5.04700E+02
-2.10420E+03	 5.03900E+02
-2.10076E+03	 5.04300E+02
-2.09733E+03	 5.05800E+02
-2.09389E+03	 5.05100E+02
-2.09046E+03	 5.05200E+02
-2.08703E+03	 5.05400E+02
-2.08360E+03	 5.04900E+02
-2.08017E+03	 5.05700E+02
-2.07674E+03	 5.04900E+02
-2.07331E+03	 5.05400E+02
-2.06989E+03	 5.04000E+02
-2.06647E+03	 5.05900E+02
-2.06304E+03	 5.04500E+02
-2.05962E+03	 5.04100E+02
-2.05620E+03	 5.03700E+02
-2.05278E+03	 5.05400E+02
-2.04936E+03	 5.05800E+02
-2.04594E+03	 5.05400E+02
-2.04253E+03	 5.04100E+02
-2.03911E+03	 5.06600E+02
-2.03570E+03	 5.06000E+02
-2.03229E+03	 5.05400E+02
-2.02888E+03	 5.07200E+02
-2.02547E+03	 5.05000E+02
-2.02206E+03	 5.06000E+02
