Field (T),Magnetization (M/MS),Sample Label
-2.9105540000000003,-0.9822660827376695,a-axis
-2.810108,-0.9834622563072392,a-axis
-2.7099330000000004,-0.9848314149776389,a-axis
-2.609324,-0.9859907832066063,a-axis
-2.508715,-0.987274553486809,a-axis
-2.4082689999999998,-0.988562740407884,a-axis
-2.307876,-0.9895027488068628,a-axis
-2.207647,-0.990895462895248,a-axis
-2.107038,-0.9921291779122318,a-axis
-2.006592,-0.9931162971471812,a-axis
-1.9062540000000001,-0.9944611642927834,a-axis
-1.806025,-0.9954401863528005,a-axis
-1.70547,-0.9963065840705749,a-axis
-1.605078,-0.9978781721142864,a-axis
-1.504685,-0.998386821921408,a-axis
-1.4042940000000002,-0.9986952506756539,a-axis
-1.303957,-0.9989131382920186,a-axis
-1.203618,-0.998609862285457,a-axis
-1.103346,-0.9971604679725447,a-axis
-1.0029649999999999,-0.9869749580143076,a-axis
-0.9026267,-0.9072641596586231,a-axis
-0.8023547,-0.8055224205253079,a-axis
-0.7023423,-0.7038718114153235,a-axis
-0.6020589,-0.6005988228915967,a-axis
-0.502047,-0.4987873744431812,a-axis
-0.4016224,-0.39696723993438343,a-axis
-0.3011815,-0.29642285214153713,a-axis
-0.2007461,-0.1965047440243769,a-axis
-0.1003855,-0.09775976933356938,a-axis
-2.063222e-05,0.0009053488097336876,a-axis
0.1003942,0.09958067675451977,a-axis
0.20077319999999999,0.1980646279697769,a-axis
0.30119229999999997,0.2972988928585493,a-axis
0.40165500000000004,0.3985707014030564,a-axis
0.5021013,0.5003775123785562,a-axis
0.6020915,0.6026398998600293,a-axis
0.7026899000000001,0.7055242239869973,a-axis
0.8024629,0.8080288642203138,a-axis
0.9026922000000001,0.9099987964653622,a-axis
1.0030299999999999,0.9887813641310608,a-axis
1.1034549999999999,0.9990846511792246,a-axis
1.203771,1.0010868617079813,a-axis
1.303793,1.0009234459957077,a-axis
1.404348,1.0006805307477336,a-axis
1.50474,1.0006415170866954,a-axis
1.6051870000000001,1.0003485465755022,a-axis
1.7055240000000003,0.9997213835716418,a-axis
1.806025,0.9988792773786647,a-axis
1.9062540000000001,0.9982712531519173,a-axis
2.006646,0.9972075788085154,a-axis
2.1071459999999997,0.9965097495506988,a-axis
2.207702,0.995571213365344,a-axis
2.30793,0.9945745247418382,a-axis
2.4083229999999998,0.9936727938970856,a-axis
2.508769,0.992649605428346,a-axis
2.609379,0.9916499723775919,a-axis
2.709988,0.9903662020973891,a-axis
2.810162,0.9892370142477153,a-axis
2.910501,0.9881041458639814,a-axis
3.0111630000000003,0.9868895696241107,a-axis
3.011326,0.9650311718345994,b-axis
2.911152,0.9669212347997078,b-axis
2.8107599999999997,0.9690749655434151,b-axis
2.710639,0.9708176586390036,b-axis
2.61003,0.9725568006533988,b-axis
2.509366,0.9745729270008676,b-axis
2.4090279999999997,0.9763626719222667,b-axis
2.308528,0.9781905909664933,b-axis
2.208353,0.9800096323077366,b-axis
2.107798,0.9818766132450889,b-axis
2.007298,0.9831629924073443,b-axis
1.9069599999999998,0.9852137417964475,b-axis
1.806677,0.9869067197553304,b-axis
1.706176,0.9889912044157693,b-axis
1.6058379999999999,0.9898887401873638,b-axis
1.505392,0.992084196135092,b-axis
1.405054,0.9931122341405383,b-axis
1.304716,0.9950582266344404,b-axis
1.204357,0.9957542385483179,b-axis
1.10415,0.9972749890693281,b-axis
1.003703,0.9988223726992876,b-axis
0.9033651,0.9985666948533735,b-axis
0.80318,0.9995956206291183,b-axis
0.7031025,0.9999258711800908,b-axis
0.6025911,0.9988117194557079,b-axis
0.5020253,0.9898825257952757,b-axis
0.40160070000000003,0.8358112334014696,b-axis
0.3011489,0.12097290746992122,b-axis
0.2007135,0.013220124864892456,b-axis
0.1003507,0.00427374308371452,b-axis
9.773155e-06,-0.00029097426131962614,b-axis
-0.100392,-0.004249426167473427,b-axis
-0.2007623,-0.006181624486480367,b-axis
-0.30118690000000004,-0.06394965454638266,b-axis
-0.40165500000000004,-0.8084220992660357,b-axis
-0.5020795,-0.9868720967136962,b-axis
-0.6025259,-0.9987282690476665,b-axis
-0.7032328,-1.000074128819909,b-axis
-0.803158,-0.9996666422529834,b-axis
-0.9033651,-0.998485907756227,b-axis
-1.003703,-0.9981379017992883,b-axis
-1.104171,-0.9967512045933233,b-axis
-1.204465,-0.9960569682200426,b-axis
-1.305151,-0.9945557486455954,b-axis
-1.405054,-0.9932081133327562,b-axis
-1.5054459999999998,-0.9920966249192683,b-axis
-1.605892,-0.9902900123622013,b-axis
-1.706176,-0.9888180892075984,b-axis
-1.806731,-0.9869937212445651,b-axis
-1.907014,-0.984897695570248,b-axis
-2.007298,-0.9834692731602623,b-axis
-2.107798,-0.9818073671618204,b-axis
-2.208407,-0.9803807202924314,b-axis
-2.308583,-0.9782545104279717,b-axis
-2.4090279999999997,-0.9765064907105935,b-axis
-2.509421,-0.974786879642761,b-axis
-2.610084,-0.9728151418102079,b-axis
-2.710693,-0.9709392831698725,b-axis
-2.810814,-0.9693901239993162,b-axis
-2.91126,-0.9672807817705246,b-axis
-3.0118150000000004,-0.9655735994868686,b-axis
-3.010512,-0.9654120252925757,b-axis
-2.910391,-0.9672346177150123,b-axis
-2.809945,-0.9692764894011322,b-axis
-2.709662,-0.9710697854037245,b-axis
-2.609107,-0.9730397476956811,b-axis
-2.508552,-0.9747611343041099,b-axis
-2.4081599999999996,-0.9765206950353664,b-axis
-2.307714,-0.9783539407013828,b-axis
-2.20743,-0.9802058295436636,b-axis
-2.106875,-0.9820230953443105,b-axis
-2.0064290000000002,-0.9837356042497564,b-axis
-1.906091,-0.9854126023432696,b-axis
-1.8058619999999999,-0.9869218118504016,b-axis
-1.705307,-0.9888136503561067,b-axis
-1.605024,-0.9899757416765984,b-axis
-1.504523,-0.9915772792947551,b-axis
-1.4041860000000002,-0.9931859190752983,b-axis
-1.3039020000000001,-0.99471643506959,b-axis
-1.20351,-0.9961475207904705,b-axis
-1.103281,-0.9973557761664746,b-axis
-1.002856,-0.9981858413953972,b-axis
-0.9024965,-0.9991686031156298,b-axis
-0.8022892,-0.9999658208435148,b-axis
-0.7022337000000001,-0.9999258711800908,b-axis
-0.6017331,-0.9991686031156298,b-axis
-0.502047,-0.9892264635448222,b-axis
-0.4016224,-0.8370128305002362,b-axis
-0.3011815,-0.12148577237125664,b-axis
-0.2007461,-0.013490042546391546,b-axis
-0.1003855,-0.004576235720769608,b-axis
-1.628859e-05,-0.00010556956013201143,b-axis
0.1004007,0.0028708218755479206,b-axis
0.20077319999999999,0.006040010031804371,b-axis
0.3011978,0.06347325924890193,b-axis
0.40165500000000004,0.8080160331315875,b-axis
0.5020795,0.98699638455546,b-axis
0.6016462,0.9983030270747745,b-axis
0.7024075,0.9998770438136836,b-axis
0.8023113000000001,0.9995192723834634,b-axis
0.9025397999999999,0.9991543987908568,b-axis
1.0028780000000002,0.9976522914461111,b-axis
1.103302,0.9971728954850221,b-axis
1.203618,0.9961262143033109,b-axis
1.304119,0.9947102206775018,b-axis
1.4041860000000002,0.993403422798385,b-axis
1.504523,0.9919519183606432,b-axis
1.605024,0.9901825921561054,b-axis
1.705307,0.9888988763047448,b-axis
1.8058619999999999,0.9871863673992991,b-axis
1.906091,0.9854596541690802,b-axis
2.0064830000000002,0.9837462574933361,b-axis
2.106984,0.9820905658869823,b-axis
2.207539,0.9802954943437934,b-axis
2.307768,0.9784702386104619,b-axis
2.408214,0.9765704101720719,b-axis
2.508552,0.9748596768072227,b-axis
2.6092150000000003,0.9730557275610507,b-axis
2.709825,0.97090377235794,b-axis
2.81,0.9693075613615731,b-axis
2.910446,0.9673269458260368,b-axis
3.011001,0.9655105677956884,b-axis
3.012195,1.000039663581787,c-axis
2.912074,1.0002012778777258,c-axis
2.811628,1.0000509114631895,c-axis
2.7114540000000003,0.9998958090985887,c-axis
2.6108439999999997,0.9996779553956382,c-axis
2.5102349999999998,0.9990682018248798,c-axis
2.409735,0.9986040787185939,c-axis
2.309397,0.9977196400441152,c-axis
2.209114,0.9965747241161087,c-axis
2.1085580000000004,0.9950864518084519,c-axis
2.008058,0.9931737199762966,c-axis
1.90772,0.9908454085260124,c-axis
1.807491,0.9860709788675986,c-axis
1.7069900000000002,0.9736136542176297,c-axis
1.606653,0.9465962430892128,c-axis
1.506206,0.9083658781901803,c-axis
1.405814,0.8640373855898063,c-axis
1.305476,0.8160053800392727,c-axis
1.2051379999999998,0.7623967932882114,c-axis
1.1048879999999999,0.7013598688615427,c-axis
1.004485,0.6317745545690965,c-axis
0.9041473,0.5580105339369301,c-axis
0.8038746,0.48739130254610585,c-axis
0.7039062,0.4204012888888099,c-axis
0.603297,0.3539559094888903,c-axis
0.5020144,0.2886580507895124,c-axis
0.40160070000000003,0.22510343610936961,c-axis
0.301149,0.16540702234835633,c-axis
0.2006972,0.109404412839871,c-axis
0.1003508,0.05446926871603065,c-axis
9.773155e-06,-0.00035126754743497983,c-axis
-0.1003855,-0.05533749268147716,c-axis
-0.2007569,-0.10981442771667414,c-axis
-0.3011815,-0.16514488751230605,c-axis
-0.4016441,-0.22389482165300048,c-axis
-0.5020687,-0.2869105444152197,c-axis
-0.6032860999999999,-0.3518081561348017,c-axis
-0.7041016,-0.41768735270455304,c-axis
-0.8039400999999999,-0.4844280777903477,c-axis
-0.9041906999999999,-0.5537568811874447,c-axis
-1.004528,-0.6276744058010651,c-axis
-1.1049309999999999,-0.6985887460802612,c-axis
-1.205291,-0.7607155310154409,c-axis
-1.305856,-0.8153956264685144,c-axis
-1.405869,-0.8645399882903634,c-axis
-1.50626,-0.9079201068903928,c-axis
-1.606653,-0.9459130822924601,c-axis
-1.7069900000000002,-0.9733709367768424,c-axis
-1.8075450000000002,-0.9856228395927793,c-axis
-1.907774,-0.9900089213459332,c-axis
-2.008112,-0.9927172927888648,c-axis
-2.108612,-0.9946596243089211,c-axis
-2.209168,-0.9961508565853681,c-axis
-2.309397,-0.9972525569690391,c-axis
-2.409843,-0.998440096447623,c-axis
-2.510181,-0.9987165575326172,c-axis
-2.6108439999999997,-0.9988491641344133,c-axis
-2.7114540000000003,-0.9995104211621192,c-axis
-2.8116830000000004,-0.999708147077297,c-axis
-2.912074,-0.9997987221222739,c-axis
-3.01263,-0.9997815543032914,c-axis
-3.011218,-0.9996992671709269,c-axis
-2.911151,-0.9997868822471134,c-axis
-2.810705,-0.9997116990398452,c-axis
-2.71053,-0.9995554126877285,c-axis
-2.609975,-0.9993257191096175,c-axis
-2.509258,-0.9988006206462559,c-axis
-2.408921,-0.9983157777584392,c-axis
-2.308528,-0.9973745076831909,c-axis
-2.2082450000000002,-0.996218343873782,c-axis
-2.1076349999999997,-0.9947377674849796,c-axis
-2.007189,-0.9929558662733459,c-axis
-1.906852,-0.9902581507180588,c-axis
-1.8066220000000002,-0.9856719750746947,c-axis
-1.706013,-0.9733987604834694,c-axis
-1.605675,-0.9463476057108453,c-axis
-1.505283,-0.9083475263836818,c-axis
-1.4048370000000001,-0.8640740892028033,c-axis
-1.304499,-0.8151215333585521,c-axis
-1.204205,-0.7614057957372896,c-axis
-1.103932,-0.7015498988578663,c-axis
-1.003551,-0.6316602997737991,c-axis
-0.9032352000000001,-0.5579794542646341,c-axis
-0.8030493000000001,-0.48718712389896557,c-axis
-0.7033849,-0.420564027972889,c-axis
-0.6030906,-0.3539593430526868,c-axis
-0.5021122,-0.2888238090417574,c-axis
-0.4016875,-0.22572230638400145,c-axis
-0.301187,-0.16523244338911688,c-axis
-0.2007298,-0.10939843370291502,c-axis
-0.1003681,-0.054507961428054696,c-axis
-6.515435e-06,0.00029296243740405993,c-axis
0.1003833,0.055324356339986745,c-axis
0.2008112,0.1100987623186501,c-axis
0.3013063,0.16505816042675645,c-axis
0.40177440000000003,0.22398409431170954,c-axis
0.502199,0.28771524153049327,c-axis
0.6035032,0.35168508063250975,c-axis
0.7041016,0.41787548832085114,c-axis
0.8037658999999999,0.4842945831979147,c-axis
0.9037782,0.5542424936671467,c-axis
1.0038120000000001,0.6276744058010651,c-axis
1.104062,0.6989847899043752,c-axis
1.2044219999999999,0.7614057957372896,c-axis
1.3048790000000001,0.8157875263363222,c-axis
1.4049459999999998,0.864659571029483,c-axis
1.5053370000000001,0.9085026287482825,c-axis
1.605783,0.9459841215434224,c-axis
1.7061220000000001,0.9734626958093353,c-axis
1.806676,0.985851349183374,c-axis
1.906852,0.9903771414634204,c-axis
2.007135,0.9927747161833924,c-axis
2.107689,0.9949129976373529,c-axis
2.2082450000000002,0.9963621983569805,c-axis
2.308528,0.9975337540040976,c-axis
2.408921,0.9984714721167979,c-axis
2.509421,0.9988681079346698,c-axis
2.609975,0.9994666136240258,c-axis
2.710585,0.9997276828713118,c-axis
2.8107599999999997,0.9998869291922186,c-axis
2.911151,1.0000503194694312,c-axis
3.011761,0.999870945360752,c-axis
